İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2020-04-17,Alfa Romeo,147,1.9 JTD Q2,2008.0,Dizel,Düz Vites,1801-2000 cc,Bilmiyorum,Siyah,Hatchback 5 Kapı,Galeriden,2. El,244000,83000
2020-04-17,Alfa Romeo,Giulietta,Diğer,2013.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,85000,127500
2020-04-17,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,222000,69000
2020-04-02,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Hatchback 5 Kapı,Sahibinden,2. El,236500,38500
2020-03-24,Alfa Romeo,145,1.6 L,2015.0,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Siyah,Diğer,Yetkili,0 km,104860,343250
2020-04-09,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri,Arazi Aracı,Galeriden,2. El,274654,162750
2020-05-29,Audi,A4,2.0 TDI Quattro,2014.0,Dizel,Otomatik Vites,Bilmiyorum,Bilmiyorum,Beyaz,Sedan,Galeriden,2. El,283000,225000
2020-06-16,Audi,A6,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah,Sedan,Galeriden,2. El,336000,117500
2020-06-16,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,2001-2500 cc,126-150 BG,Siyah,Sedan,Galeriden,2. El,298000,119900
2020-06-15,Audi,A4,A4 Sedan 2.0 TDI,2012.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz,Sedan,Galeriden,2. El,164000,177500
2020-06-15,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,Bilmiyorum,126-150 BG,Füme,Sedan,Sahibinden,2. El,302000,117500
2020-06-15,Audi,A3,1.6 TDI Ambition,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,43500,248000
2020-06-15,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Siyah,Arazi Aracı,Galeriden,2. El,230000,155000
2020-06-15,Audi,A4,2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah,Sedan,Sahibinden,2. El,85000,262000
2020-06-14,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2008.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Füme,Hatchback 5 Kapı,Galeriden,2. El,201500,83900
2020-06-13,Audi,A3,A3 Sportback 1.6 Attraction,2011.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah,Hatchback 5 Kapı,Galeriden,2. El,146000,115000
2020-06-12,Audi,A3,"1.6 TDI Ambition Sportback
",2012.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,114000,145000
2020-06-12,Audi,A4,2023-06-01 00:00:00,2008.0,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Siyah,Sedan,Sahibinden,2. El,220042,110000
2020-06-12,Audi,A4,A4 Sedan 3.0,2003.0,Benzin,Yarı Otomatik Vites,2501-3000 cc,201-225 BG,Bej,Sedan,Galeriden,2. El,239000,79900
2020-06-12,Audi,A5,A5 Coupe 1.8 TFSI,2010.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Gümüş Gri,Spor / Coupe,Galeriden,2. El,105000,159900
2020-06-11,Audi,A5,1.8 TFSI Coupe,2011.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Beyaz,Spor / Coupe,Sahibinden,2. El,94000,175000
2020-06-10,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Hatchback 5 Kapı,Galeriden,2. El,147500,147500
2020-06-10,Audi,Q5,2.0 TDI Quattro Sport,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Mavi,Arazi Aracı,Galeriden,2. El,47800,669900
2020-06-10,Audi,A4,2.0 TDI,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,80000,274900
2020-05-27,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
2020-06-10,Audi,Q7,3.0 TDI Quattro,2016.0,Dizel,Otomatik Vites,2501-3000 cc,251-275 BG,Siyah,Arazi Aracı,Galeriden,2. El,138000,820000
