İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2020-04-08,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer,Diğer,Yetkili,0 km,12008,176750
2020-04-06,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,101-125 BG,Mavi,Sedan,Galeriden,0 km,29218,178900
2020-04-03,Acura,CL,2023-02-02 00:00:00,2011.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Bordo,Hatchback 5 Kapı,Sahibinden,2. El,302000,51000
2020-03-25,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,75000,160000
2020-04-01,Acura,CL,Diğer,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Gri,Sedan,Sahibinden,2. El,170000,55000
2020-03-27,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer,Diğer,Yetkili,0 km,11400,176750
2020-03-26,Acura,CL,2023-02-02 00:00:00,2008.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri,Hatchback 5 Kapı,Sahibinden,2. El,189000,58750
2020-03-22,Acura,CL,-,2014.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz,Sedan,Sahibinden,2. El,89000,345000
2020-03-21,Acura,TL,Diğer,2016.0,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Beyaz,Sedan,Sahibinden,2. El,172000,92000
2020-03-25,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,75000,160000
2020-06-16,Alfa Romeo,147,1.6 TS Distinctive,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Hatchback 5 Kapı,Galeriden,2. El,220000,45000
2020-06-15,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı,Hatchback 5 Kapı,Galeriden,2. El,114000,113000
2020-05-31,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Hatchback 3 Kapı,Sahibinden,2. El,246000,43750
2020-05-28,Alfa Romeo,Mito,1.4 T MultiAir TCT City,2012.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Hatchback 3 Kapı,Sahibinden,2. El,100000,108000
2020-05-17,Alfa Romeo,156,2.0 TS 16V Selespeed,2002.0,Benzin/LPG,Yarı Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz,Sedan,Galeriden,2. El,220000,45000
2020-05-12,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2018.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme,Hatchback 5 Kapı,Galeriden,2. El,32000,178750
2020-05-12,Alfa Romeo,156,1.9 JTD 16V Progression,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Diğer,Diğer,Yetkili,0 km,41128,236750
2020-04-18,Alfa Romeo,Diğer,Diğer,2013.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Kırmızı,Hatchback 3 Kapı,Galeriden,2. El,182000,72950
2020-04-18,Alfa Romeo,Diğer,Diğer,2013.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi,Hatchback 3 Kapı,Galeriden,2. El,99000,105900
2020-04-18,Alfa Romeo,159,1.9 JTD Distinctive Plus,2007.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Kahverengi,Sedan,Galeriden,2. El,229000,77500
2020-04-18,Alfa Romeo,156,1.6 TS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı,Sedan,Galeriden,2. El,262000,32000
2020-04-18,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı,Hatchback 5 Kapı,Galeriden,2. El,80000,166500
